,source_label,target_label,value,ratio
0,Others (3.8%),Ceramide (35.8%),3.2130357106232426,2.1005754719443055
1,Others (3.8%),Dihydro-Ceramide (0.8%),1.2265262649037936,0.8018619211837574
2,Others (3.8%),Dihydro-Deoxy-Ceramide (3.5%),0.7040549674161152,0.46028763096690517
3,Others (3.8%),Hex-(n)-Ceramide (43.1%),0.23104874955147486,0.15105195828560802
4,Others (3.8%),Others (0.8%),0.4519256995490831,0.2954539336352213
5,SPB 16:1;2 (2.6%),Ceramide (35.8%),2.2151959642224077,1.4482211612559426
6,SPB 16:1;2 (2.6%),Hex-(n)-Ceramide (43.1%),1.7891958447265641,1.1697165062657446
7,SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),4.59865607848992,3.0064478058694744
8,SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),15.052483938949996,9.84081143245705
9,SPB 18:1;2 (74.0%),Ceramide (35.8%),49.359518317154595,32.26960507821086
10,SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),63.88391063252466,41.76516783890133
11,SPB 18:2;2 (6.7%),Others (0.8%),0.8330719152731079,0.5446346039051385
12,SPB 18:2;2 (6.7%),Sphingadiene-Ceramide (6.1%),9.401160201310939,6.146164657118671
13,Ceramide (35.8%),FA 16:0 (18.3%),6.673800644178212,4.363108038748684
14,Ceramide (35.8%),FA 18:0 (3.2%),2.171129113258292,1.4194117253835068
15,Ceramide (35.8%),FA 20:0 (1.9%),1.0855618908025306,0.7097041198633178
16,Ceramide (35.8%),FA 22:0 (16.9%),7.547296778458368,4.93417064737159
17,Ceramide (35.8%),FA 23:0 (5.0%),2.5821263861788877,1.6881080201923622
18,Ceramide (35.8%),FA 24:0 (31.3%),16.25549577079846,10.627300402400525
19,Ceramide (35.8%),FA 24:1 (21.1%),16.638077829087408,10.8774197786
20,Ceramide (35.8%),Others (2.2%),1.8342615792380883,1.1991789788511176
21,Deoxy-Ceramide (9.8%),FA 18:0 (3.2%),0.6861474018215314,0.4485802624724168
22,Deoxy-Ceramide (9.8%),FA 20:0 (1.9%),0.8858571170824738,0.5791438064750897
23,Deoxy-Ceramide (9.8%),FA 22:0 (16.9%),2.929996645990447,1.915533981492155
24,Deoxy-Ceramide (9.8%),FA 23:0 (5.0%),0.8381872126258423,0.5479788145266792
25,Deoxy-Ceramide (9.8%),FA 24:0 (31.3%),4.8775705338351605,3.1887927644803673
26,Deoxy-Ceramide (9.8%),FA 24:1 (21.1%),4.595057384602701,3.0040950999578855
27,Deoxy-Ceramide (9.8%),Others (2.2%),0.23966764299183882,0.15668670305245608
28,Dihydro-Ceramide (0.8%),FA 16:0 (18.3%),0.31296659905146607,0.2046071132455038
29,Dihydro-Ceramide (0.8%),FA 18:0 (3.2%),0.13064624252531476,0.08541215139408792
30,Dihydro-Ceramide (0.8%),FA 20:0 (1.9%),0.06957248233666,0.04548416609111349
31,Dihydro-Ceramide (0.8%),FA 22:0 (16.9%),0.251567684246596,0.1644665527105912
32,Dihydro-Ceramide (0.8%),FA 23:0 (5.0%),0.12498276972168178,0.08170956196503128
33,Dihydro-Ceramide (0.8%),FA 24:0 (31.3%),0.336790487022075,0.2201823757774297
34,Dihydro-Deoxy-Ceramide (3.5%),FA 16:0 (18.3%),0.21078970842644962,0.13780727359952208
35,Dihydro-Deoxy-Ceramide (3.5%),FA 20:0 (1.9%),0.23212074516539588,0.1517527932265921
36,Dihydro-Deoxy-Ceramide (3.5%),FA 22:0 (16.9%),1.0209066013493053,0.6674346503059564
37,Dihydro-Deoxy-Ceramide (3.5%),FA 23:0 (5.0%),0.1283984188475144,0.08394259932305688
38,Dihydro-Deoxy-Ceramide (3.5%),FA 24:0 (31.3%),2.1202645511286238,1.3861581729105268
39,Dihydro-Deoxy-Ceramide (3.5%),FA 24:1 (21.1%),1.590231020988747,1.0396399474707252
40,Hex-(n)-Ceramide (43.1%),FA 16:0 (18.3%),19.438175016273895,12.708029830961749
41,Hex-(n)-Ceramide (43.1%),FA 18:0 (3.2%),1.5541349387825203,1.0160415340870852
42,Hex-(n)-Ceramide (43.1%),FA 20:0 (1.9%),0.3466208431109762,0.22660913437601954
43,Hex-(n)-Ceramide (43.1%),FA 22:0 (16.9%),12.761152674533568,8.342815553911814
44,Hex-(n)-Ceramide (43.1%),FA 23:0 (5.0%),3.588066586823943,2.3457581374105927
45,Hex-(n)-Ceramide (43.1%),FA 24:0 (31.3%),22.03932840972259,14.40857707324035
46,Hex-(n)-Ceramide (43.1%),FA 24:1 (21.1%),5.116106700328636,3.3447397459755166
47,Hex-(n)-Ceramide (43.1%),Others (2.2%),1.060570057226569,0.6933652934895531
48,Others (0.8%),FA 16:0 (18.3%),0.5906728582949812,0.38616219358389864
49,Others (0.8%),FA 22:0 (16.9%),0.31742439077452655,0.20752146863892112
50,Others (0.8%),FA 23:0 (5.0%),0.04506415992617694,0.029461443174044637
51,Others (0.8%),FA 24:0 (31.3%),0.14230779750313388,0.09303608668685355
52,Others (0.8%),FA 24:1 (21.1%),0.16940195174963488,0.11074934012350333
53,Others (0.8%),Others (2.2%),0.020126456573737506,0.013158005333138548
54,Sphingadiene-Ceramide (6.1%),FA 16:0 (18.3%),0.8368154153870513,0.5470819792930222
55,Sphingadiene-Ceramide (6.1%),FA 18:0 (3.2%),0.3032290044528944,0.19824099901220468
56,Sphingadiene-Ceramide (6.1%),FA 20:0 (1.9%),0.25159058593717876,0.16448152507126096
